node attribute,position,V point,V wave,video index
-1.0,942.7472£¬364.213,38.0£¬25.98,-35.901978£¬-199.4129,7
-1.0,832.3293£¬566.1334,30.5£¬-0.866,-177.45392£¬34.57379,7
1.0,796.17554£¬566.0169,93.5£¬0.866,119.17554£¬14.016907,7
-1.0,894.4334£¬638.30225,45.0£¬38.104,-11.566589£¬-131.69775,7
-1.0,1360.2593£¬595.9961,39.0£¬71.012,-26.740723£¬-19.003906,7
1.0,331.6901£¬112.32164,16.5£¬-4.33,89.690094£¬-33.67836,7
1.0,595.7405£¬202.76924,8.0£¬24.248,-15.2595215£¬47.76924,7
-1.0,791.1162£¬546.0894,60.5£¬6.062,-211.88379£¬43.089417,7
1.0,396.43234£¬264.28687,43.0£¬-41.568,3.4323425£¬-0.71313477,7
1.0,290.09973£¬385.28485,51.0£¬-5.196,89.09973£¬23.284851,7
1.0,772.83167£¬509.86597,53.0£¬27.712,45.831665£¬69.86597,7
1.0,877.0939£¬495.12198,28.0£¬15.588000000000001,191.09387£¬-14.878021,7
-1.0,1188.895£¬636.0957,70.5£¬40.702,-65.10498£¬-73.9043,7
-1.0,999.18695£¬592.4628,46.5£¬42.434,-42.81305£¬-150.53717,7
-1.0,904.364£¬608.0366,29.5£¬19.918,-28.635986£¬-94.96338,7
1.0,737.45544£¬555.67914,35.0£¬36.372,61.455444£¬27.679138,7
1.0,781.90656£¬643.8614,62.0£¬-5.196,77.906555£¬-43.13861,7
-1.0,1107.633£¬-212.78836,-13.0£¬45.032,-25.016235£¬-68.60675,8
1.0,491.02994£¬697.54987,16.0£¬45.032,38.052185£¬65.60431,8
-1.0,891.50226£¬661.4938,20.5£¬-122.106,31.408386£¬45.16748,8
1.0,118.134224£¬227.40065,-18.5£¬-33.774,-72.22283£¬-60.949936,8
-1.0,895.78£¬525.09344,51.0£¬-24.248,-45.10437£¬15.163757,8
-1.0,1036.6853£¬530.6663,5.0£¬5.196000000000001,-108.63745£¬-36.819214,8
-1.0,786.3931£¬430.8999,107.5£¬-16.454,-31.134155£¬2.3309326,8
1.0,969.1547£¬345.51837,47.5£¬18.186,38.935913£¬-12.578369,8
1.0,209.44157£¬197.84718,-5.0£¬-5.196,-0.9629822£¬-63.400253,8
-1.0,102.1214£¬226.92468,22.0£¬-1.7319999999999998,-83.0845£¬-65.218445,8
1.0,784.7925£¬543.9899,43.0£¬22.516,19.92163£¬50.723938,8
1.0,928.3127£¬646.1509,12.0£¬32.908,-3.6096802£¬41.01758,8
1.0,733.6352£¬483.6525,-31.0£¬81.404,-1.1704712£¬76.400635,8
1.0,718.2882£¬576.9064,112.0£¬36.372,26.926575£¬20.67871,8
-1.0,470.22772£¬348.4379,12.5£¬40.702,17.861572£¬-83.734955,8
1.0,875.8066£¬650.9429,-53.5£¬30.309999999999995,-32.2312£¬37.297546,8
-1.0,583.7025£¬182.19095,11.0£¬5.196,-28.723022£¬-60.256714,8
-1.0,1376.5472£¬625.4719,-9.5£¬-16.454,39.58081£¬32.639954,8
-1.0,1171.5563£¬565.7112,20.0£¬31.176000000000002,-28.586792£¬-7.4798584,8
-1.0,902.6338£¬457.6416,-43.5£¬14.721999999999998,127.85474£¬-72.00128,8
-1.0,1179.5616£¬597.97876,34.0£¬53.692,-38.538574£¬-26.96045,8
1.0,715.5664£¬570.90845,81.0£¬32.908,25.529663£¬21.253052,8
-1.0,909.35596£¬545.62714,22.0£¬3.464,-36.833923£¬-20.073303,8
1.0,748.16736£¬569.8685,26.5£¬30.310000000000002,4.6033325£¬13.264832,8
1.0,810.9551£¬669.7804,36.0£¬-3.464,62.918213£¬47.026184,8
1.0,385.78387£¬635.5279,3.0£¬38.104,37.627502£¬44.844055,8
1.0,522.5704£¬700.7926,28.5£¬23.382,42.691254£¬4.63855,9
-1.0,1111.5764£¬-289.06317,18.0£¬64.084,-17.027222£¬-116.414795,9
1.0,448.10367£¬153.42075,-2.0£¬1.7319999999999998,-33.82184£¬72.60408,9
1.0,521.60974£¬653.9962,61.5£¬23.382,61.621735£¬-24.92041,9
-1.0,101.31946£¬215.71158,-1.0£¬6.928,-15.689003£¬-25.460068,9
-1.0,1006.8283£¬625.3218,-16.0£¬-8.66,49.31433£¬17.206665,9
-1.0,739.63635£¬500.6626,68.5£¬2.598,-97.903076£¬-9.942963,9
1.0,1009.6107£¬516.18225,58.0£¬-6.928,77.35028£¬-41.50415,9
1.0,1178.5665£¬160.33954,-7.5£¬-14.722,-25.437378£¬-48.71428,9
1.0,1036.9749£¬534.6831,-3.5£¬-0.8660000000000001,-18.573975£¬-25.84375,9
-1.0,901.5516£¬623.89685,17.5£¬-7.794,-37.337036£¬-14.003906,9
-1.0,786.1105£¬584.5798,54.5£¬11.258,-46.21881£¬18.44635,9
-1.0,748.45544£¬431.6542,54.5£¬-6.062,-46.034058£¬-22.047638,9
-1.0,1022.7745£¬589.3164,-17.5£¬-2.5980000000000008,42.587097£¬-12.671448,9
-1.0,713.40625£¬586.521,46.0£¬-12.124,-65.64197£¬44.992065,9
-1.0,723.4854£¬554.3792,61.0£¬3.464,-72.690125£¬-11.637695,9
1.0,770.21326£¬573.0711,71.5£¬-0.866,76.51282£¬6.9068604,9
1.0,491.62808£¬371.3566,60.0£¬10.392,34.77835£¬-21.856445,9
-1.0,836.62244£¬603.3844,68.5£¬-7.794,-57.810974£¬-34.917847,9
-1.0,1325.9591£¬596.5402,56.5£¬35.506,-34.30017£¬0.5441284,9
1.0,497.21976£¬633.70703,53.0£¬6.928,22.226196£¬-14.916626,9
1.0,569.30096£¬257.66116,-4.0£¬3.4639999999999995,-26.439514£¬54.891922,9
-1.0,1337.8444£¬593.4839,51.0£¬12.124,-33.617554£¬-13.805725,9
1.0,336.513£¬368.695,79.0£¬10.392,46.41327£¬-16.589844,9
-1.0,457.34995£¬387.8758,55.5£¬-12.99,-15.457489£¬1.2171936,9
1.0,750.1211£¬578.37946,48.0£¬15.588000000000001,53.937134£¬17.90747,9
-1.0,1031.3447£¬549.06085,-5.5£¬32.042,32.157776£¬-43.401978,9
1.0,476.85413£¬389.00543,68.0£¬-8.66,13.182831£¬-0.34161377,9
1.0,433.584£¬600.62085,72.0£¬1.732,148.28473£¬20.901184,9
-1.0,500.909£¬698.71576,34.5£¬45.898,-30.575012£¬-17.424866,10
-1.0,1152.0374£¬579.0252,-6.5£¬4.33,54.08069£¬-23.843811,10
-1.0,459.31058£¬627.56775,80.5£¬51.094,-31.71936£¬-69.98212,10
1.0,85.77949£¬229.126,-11.0£¬3.4639999999999995,-32.354736£¬1.725357,10
-1.0,1209.6688£¬380.4699,-35.5£¬16.454,24.020264£¬-38.961334,10
1.0,938.4115£¬482.82745,48.5£¬-18.186,42.63147£¬-42.26599,10
-1.0,811.9922£¬493.78223,46.0£¬-53.692,-15.797363£¬1.4359741,10
-1.0,947.1559£¬627.8777,-23.0£¬-25.98,91.60254£¬43.72467,10
-1.0,1158.7166£¬-50.69581,-8.5£¬38.97,-17.025635£¬-64.412094,10
1.0,1222.4055£¬120.873314,4.5£¬-2.598,23.56958£¬-61.7492,10
-1.0,1061.7588£¬565.03656,-23.0£¬-29.444,24.43872£¬30.398254,10
-1.0,1062.5446£¬561.5923,-23.5£¬-37.238,25.859253£¬30.925964,10
-1.0,273.70322£¬224.4084,-7.0£¬-31.176,-21.836243£¬35.92813,10
-1.0,629.1234£¬363.05994,47.0£¬15.588000000000001,-157.26971£¬-67.839966,10
1.0,943.84644£¬648.1182,-22.5£¬-38.97,-17.501282£¬-20.294067,10
1.0,82.18716£¬238.18459,-15.5£¬4.33,-19.934242£¬11.259903,10
-1.0,761.7689£¬458.1355,75.5£¬-52.826,-16.155151£¬24.460602,10
-1.0,943.4226£¬725.5575,-2.0£¬-32.908,15.109924£¬79.40662,10
-1.0,669.7999£¬442.59332,50.5£¬38.97,-63.835266£¬-41.059174,10
1.0,453.20673£¬323.49338,27.0£¬8.66,61.69864£¬61.391693,10
-1.0,1378.847£¬610.52106,-1.0£¬25.98,2.2998047£¬-14.950867,10
-1.0,745.0222£¬541.4991,117.5£¬2.598,-41.862732£¬1.0039062,10
1.0,931.04236£¬452.50977,63.5£¬-6.062,28.40857£¬-5.131836,10
1.0,1275.2041£¬588.75024,99.0£¬43.300000000000004,95.642456£¬-9.228516,10
1.0,800.6325£¬624.8205,110.5£¬-16.454,85.0661£¬53.91205,10
-1.0,712.2722£¬577.75073,85.0£¬22.516000000000002,-35.89514£¬7.882202,10
-1.0,1123.4869£¬482.0367,-15.0£¬-8.66,23.961792£¬27.257477,10
1.0,465.89056£¬558.2655,93.5£¬-0.866,80.10669£¬-77.26239,10
1.0,721.38324£¬599.3622,41.5£¬0.866,198.81287£¬-101.43042,11
-1.0,1157.9905£¬526.4587,-3.5£¬32.042,41.08252£¬-65.805786,11
-1.0,494.63495£¬193.41505,-2.0£¬-1.7319999999999998,46.53128£¬39.99431,11
-1.0,905.14294£¬681.04175,6.0£¬-24.248,36.220276£¬70.33142,11
1.0,68.87301£¬257.52957,-13.0£¬20.784,-32.44645£¬41.817993,11
1.0,1196.9094£¬446.64526,0.5£¬49.362,21.659546£¬52.706757,11
1.0,843.2544£¬423.94992,33.5£¬-7.794,103.61804£¬-76.71268,11
-1.0,1139.7778£¬318.26187,-2.0£¬0.0,194.4436£¬-9.756531,11
1.0,59.166508£¬271.7735,5.5£¬18.186,-25.600422£¬56.188705,11
1.0,756.36786£¬376.56714,17.0£¬-29.444,7.9124146£¬-55.087067,11
-1.0,1051.0154£¬545.39594,-16.0£¬29.444,28.240906£¬-43.92047,11
-1.0,650.6795£¬564.4736,21.5£¬-0.866,-62.726746£¬-22.047424,11
-1.0,596.96124£¬456.7322,34.5£¬0.8659999999999999,-90.07202£¬-27.760437,11
-1.0,604.261£¬683.7059,28.5£¬-14.722,-165.95227£¬110.634766,11
1.0,686.7087£¬572.18604,28.0£¬15.588,195.0806£¬200.82944,11
-1.0,791.3561£¬589.9126,53.0£¬-8.66,-45.266357£¬-13.471802,11
1.0,645.4416£¬626.6094,76.0£¬-3.464,148.22183£¬-7.0976562,11
1.0,522.11334£¬418.63205,24.5£¬30.31,115.4881£¬83.888916,11
-1.0,1242.3792£¬500.2132,2.5£¬35.506,-95.46521£¬-93.27069,11
1.0,578.41187£¬552.1079,29.0£¬6.928,121.06192£¬164.23212,11
1.0,917.64545£¬364.75653,26.0£¬-36.372,25.502014£¬-77.132416,11
-1.0,1245.1487£¬483.18903,9.5£¬42.434,34.67334£¬-110.5484,11
-1.0,1054.7527£¬526.25635,-4.5£¬7.794,23.407959£¬-22.804504,11
1.0,559.1562£¬401.73404,27.0£¬25.979999999999997,82.30206£¬12.728607,11
-1.0,646.91754£¬635.0476,65.5£¬-16.454,-43.742737£¬45.747986,11
-1.0,1170.659£¬471.29565,-22.0£¬17.32,95.690674£¬-8.298248,11
1.0,877.5225£¬681.12445,18.0£¬-6.928,83.851074£¬11.246948,11
1.0,532.5645£¬649.0753,27.0£¬15.588,98.9805£¬48.454468,11
1.0,1044.2074£¬332.88605,4.0£¬53.692,9.207397£¬11.886047,11
-1.0,789.1415£¬601.4678,51.5£¬-11.258,-97.85852£¬-57.532227,11
-1.0,812.6585£¬602.448,50.0£¬-1.732,-82.34149£¬-55.552002,11
-1.0,607.6991£¬619.88403,26.5£¬7.794,-98.3009£¬-75.11597,11
-1.0,636.3282£¬628.04407,67.5£¬-4.33,-83.671814£¬-65.95593,11
-1.0,596.84595£¬622.1354,57.0£¬5.196,-56.154053£¬-9.864624,11
1.0,588.1564£¬548.8293,27.5£¬-11.258,172.15637£¬42.829285,11
1.0,1192.4415£¬447.75018,-2.5£¬49.362,-15.558472£¬52.750183,11
1.0,1033.3291£¬338.19144,-24.0£¬17.32,-13.670898£¬15.191437,11
-1.0,1219.2474£¬501.60675,-18.0£¬77.94,-1.7525635£¬-46.39325,11
