node attribute,position,V point,V wave,video index
-1.0,1078.2576£¬100.145996,19.5£¬42.434,-50.299194£¬-43.22107,21
1.0,1060.4708£¬485.09927,18.0£¬-25.98,43.996338£¬-15.607819,21
-1.0,1015.6497£¬211.20499,-28.5£¬28.578,6.074585£¬-55.51013,21
-1.0,-74.73956£¬412.5728,17.0£¬-10.392,-2.5845337£¬2.765808,21
-1.0,902.4027£¬304.26065,-36.0£¬-5.1960000000000015,17.118286£¬-3.9198608,21
-1.0,779.8677£¬671.55444,14.5£¬-23.382,-58.03772£¬60.078857,21
-1.0,1275.3271£¬695.758,38.0£¬-57.156,-35.108643£¬89.81549,21
1.0,0.7270775£¬326.86072,-1.0£¬-3.464,3.2068558£¬-10.699005,21
1.0,1100.4736£¬380.46835,11.5£¬-25.114,2.8050537£¬-44.287323,21
1.0,958.27£¬394.59946,56.5£¬-0.866,22.636536£¬10.353516,21
-1.0,1043.9734£¬489.18332,-9.5£¬14.722,58.84442£¬-34.870148,21
-1.0,964.6192£¬401.6626,51.5£¬-0.8660000000000001,-39.772705£¬-27.659851,21
-1.0,433.66464£¬308.3712,-13.5£¬-30.31,30.03006£¬14.393616,21
1.0,869.5418£¬306.33054,25.5£¬-2.598,41.591248£¬-12.954346,21
-1.0,708.5512£¬142.90121,3.5£¬2.598,-18.302795£¬-44.20793,21
1.0,888.5302£¬322.67905,17.5£¬16.454,50.393066£¬32.45749,21
-1.0,1215.8987£¬258.86304,-4.0£¬-6.928,39.17981£¬17.169174,21
1.0,1196.1382£¬407.6864,12.5£¬-7.794,6.6169434£¬-18.818848,21
1.0,1361.9656£¬515.3265,4.5£¬37.238,31.829224£¬27.059448,21
-1.0,117.4912£¬407.62155,21.5£¬-11.258,-3.0813065£¬-0.19296265,21
-1.0,1361.1664£¬673.8627,12.5£¬-19.918,3.392456£¬47.53961,21
-1.0,877.17816£¬771.90656,15.0£¬-5.196,-47.215515£¬25.61847,21
1.0,944.41895£¬390.50406,58.5£¬-2.598,21.707947£¬-19.835388,21
1.0,69.65985£¬391.98434,1.5£¬-0.866,8.698139£¬-2.1835327,21
1.0,99.10567£¬273.5491,13.0£¬-20.784,30.981186£¬-12.957153,21
1.0,1375.4103£¬556.3856,2.0£¬0.0,28.035034£¬6.8172607,21
1.0,1333.3641£¬711.15186,1.5£¬12.99,-9.220947£¬63.214966,21
1.0,967.39813£¬27.024796,57.0£¬-10.392,23.2594£¬-17.844154,21
-1.0,857.41565£¬352.8105,39.0£¬29.444,-35.413208£¬-0.704834,21
1.0,1016.2135£¬318.55936,40.0£¬-34.64,13.207031£¬-15.222412,21
1.0,571.33344£¬475.6201,47.0£¬-98.724,0.09509277£¬-124.55008,21
-1.0,1390.7278£¬472.0471,1.0£¬15.588,11.310547£¬-16.585175,21
1.0,527.1981£¬147.62125,-9.0£¬19.052,-36.59314£¬14.745544,21
-1.0,-48.051727£¬227.2498,2.5£¬-0.866,-44.9151£¬-0.31143188,21
1.0,-138.9331£¬414.10583,39.0£¬-5.196,9.110626£¬-2.1495056,21
-1.0,520.28503£¬104.83451,-1.0£¬-3.464,-0.57421875£¬24.74173,21
1.0,521.5211£¬244.07594,-18.0£¬-27.712,-1.5384521£¬-29.078476,21
1.0,713.78253£¬429.56998,57.0£¬-67.548,27.782532£¬-3.4300232,21
-1.0,548.78906£¬228.20976,20.5£¬40.702,-1.2109375£¬-2.7902374,21
1.0,941.6934£¬403.59076,57.0£¬-1.7319999999999998,18.69342£¬-13.409241,21
-1.0,951.96484£¬764.0386,-52.0£¬3.4640000000000057,70.96484£¬23.038574,21
1.0,1037.178£¬757.57214,86.0£¬10.392,20.177979£¬1.5721436,21
-1.0,793.8863£¬123.42227,59.5£¬14.722,-22.113708£¬5.4222717,21
-1.0,152.38367£¬344.6954,39.0£¬17.32,-16.616333£¬-10.304596,21
-1.0,166.8408£¬306.213,78.0£¬64.084,-4.159195£¬-10.786987,21
1.0,330.55643£¬273.67926,-16.0£¬8.66,-1.443573£¬3.6792603,21
1.0,438.07593£¬440.756,55.0£¬-45.032,6.0759277£¬-37.243988,21
1.0,1297.338£¬524.856,65.5£¬-12.99,54.249878£¬-53.882996,22
1.0,901.54095£¬760.22473,19.0£¬-6.928,70.96399£¬29.103577,22
1.0,957.2077£¬387.3118,18.5£¬-4.33,40.150757£¬-12.362671,22
-1.0,721.5161£¬413.03555,93.5£¬-45.897999999999996,-85.71997£¬16.327423,22
1.0,1095.2715£¬-194.61844,-9.0£¬-5.196,-8.346191£¬-19.22287,22
1.0,876.8092£¬266.20038,20.5£¬-30.31,-3.2158813£¬-16.190918,22
1.0,921.8849£¬369.54572,10.0£¬-34.64,12.538696£¬-27.726349,22
-1.0,346.78882£¬337.41293,17.0£¬-22.516,-13.017395£¬4.196411,22
-1.0,1015.40753£¬207.25684,-17.0£¬32.908,-10.495056£¬-49.44922,22
1.0,1069.3134£¬382.82047,1.0£¬-39.836,-48.34204£¬-79.97513,22
1.0,823.6681£¬721.1426,12.5£¬-2.598,73.395874£¬7.602783,22
1.0,766.1182£¬468.56064,4.0£¬-31.176000000000002,0.34228516£¬-3.818756,22
-1.0,1112.4388£¬660.22815,-5.5£¬0.8660000000000005,30.460815£¬16.635742,22
-1.0,1016.9258£¬75.67911,12.5£¬16.454,-60.66272£¬-24.267395,22
1.0,924.19305£¬365.98648,0.5£¬-25.114,14.622742£¬-28.865234,22
1.0,865.6954£¬317.34384,27.0£¬25.98,32.322815£¬3.7010193,22
1.0,901.9997£¬348.46182,9.5£¬33.774,47.91626£¬31.50885,22
1.0,1199.1849£¬266.6527,-11.0£¬-57.156,-9.577393£¬-46.346497,22
1.0,952.60675£¬415.48874,54.5£¬4.33,33.061584£¬9.707794,22
-1.0,898.1887£¬610.8943,-23.5£¬-25.114,106.37225£¬48.233337,22
1.0,1157.7214£¬417.2896,-28.5£¬-32.042,-33.877197£¬-32.645386,22
-1.0,101.14641£¬425.85794,-7.5£¬-38.97,-13.950356£¬21.058441,22
-1.0,1327.2133£¬667.13196,27.0£¬-72.744,-15.463013£¬38.79834,22
1.0,959.9597£¬415.34045,61.5£¬-2.598,43.36267£¬16.927795,22
-1.0,53.010124£¬392.05814,3.5£¬-4.33,-15.688423£¬1.8070984,22
1.0,1372.9806£¬607.8437,6.0£¬24.247999999999998,22.627075£¬24.443115,22
1.0,1378.4606£¬562.2561,28.0£¬3.464,20.426514£¬12.565613,22
1.0,122.66127£¬266.04303,12.0£¬1.7319999999999998,20.524261£¬7.434326,22
1.0,1406.4111£¬619.5667,0.5£¬19.918,24.384644£¬23.0708,22
1.0,1334.3108£¬518.6863,38.0£¬-38.104,-0.16760254£¬-18.961487,22
1.0,970.1907£¬28.964455,50.0£¬-15.588,34.94586£¬-10.109978,22
-1.0,851.22723£¬379.07755,112.0£¬-3.464,-29.106506£¬20.16446,22
1.0,564.50085£¬513.06824,63.5£¬-78.806,16.589539£¬-99.15149,22
-1.0,530.95026£¬138.9499,7.0£¬-3.464,-10.980347£¬-3.5305176,22
-1.0,-144.62665£¬402.9049,43.0£¬-3.464,-10.985687£¬-3.0291748,22
-1.0,738.8024£¬621.03534,-8.0£¬-13.856,53.37738£¬28.692749,22
1.0,912.1774£¬329.8461,14.0£¬0.0,19.949097£¬-0.18566895,22
1.0,924.3129£¬356.74756,14.5£¬-14.722,35.87921£¬-15.46637,22
-1.0,300.88568£¬674.2673,56.5£¬-26.846,-84.24805£¬19.58844,22
1.0,530.4868£¬249.93993,31.5£¬-0.866,3.2694092£¬1.6458435,22
1.0,470.9364£¬428.72845,85.0£¬-69.28,38.9364£¬-38.271545,22
1.0,544.50385£¬235.3941,-1.5£¬6.062,-5.496155£¬4.394104,22
1.0,960.52734£¬332.1222,21.0£¬-71.012,37.527344£¬-84.87781,22
1.0,608.07806£¬164.1662,94.0£¬-60.62,7.078064£¬-2.8338013,22
-1.0,788.0861£¬135.3059,45.5£¬-16.454,-27.91388£¬17.305893,22
1.0,847.30304£¬760.4974,-17.0£¬12.124000000000002,-52.69696£¬15.4973755,22
1.0,330.47598£¬292.79562,-3.5£¬30.31,-1.5240173£¬22.795624,22
1.0,459.24048£¬451.05896,71.0£¬-58.888,27.240479£¬-26.94104,22
1.0,887.43256£¬738.7432,-8.0£¬5.196,-24.456299£¬27.380188,23
1.0,67.75337£¬297.58273,-21.5£¬40.702,-21.635574£¬22.243591,23
-1.0,712.8267£¬408.46185,51.5£¬-63.217999999999996,-81.532776£¬18.982788,23
-1.0,870.8791£¬358.03845,25.5£¬4.33,-45.969788£¬-27.811249,23
-1.0,1017.0704£¬481.50864,33.0£¬1.732,-43.40045£¬-3.5906372,23
-1.0,1033.8845£¬205.57709,-6.0£¬10.392000000000001,18.234802£¬-5.627899,23
1.0,42.373764£¬311.80215,-13.5£¬-0.8659999999999997,-29.464798£¬23.951843,23
-1.0,1151.4844£¬757.1296,15.5£¬-11.258,-55.818237£¬41.67932,23
-1.0,-15.946037£¬340.94528,4.5£¬-2.598,-16.673115£¬14.084564,23
1.0,769.8075£¬468.20575,-4.5£¬-30.31,-2.9691772£¬-6.6396484,23
-1.0,1128.7052£¬669.7069,-2.5£¬-4.33,32.15918£¬9.837769,23
1.0,914.96643£¬418.81,11.5£¬61.486000000000004,-30.195618£¬48.49063,23
-1.0,960.947£¬31.222212,20.0£¬0.0,-131.50891£¬-67.18852,23
-1.0,1328.3549£¬532.5561,75.5£¬-4.33,-32.63733£¬13.15155,23
-1.0,876.76276£¬358.95663,30.5£¬2.598,-42.694824£¬-21.779053,23
-1.0,1046.1487£¬348.84106,-2.0£¬-13.856,4.8656006£¬17.870605,23
1.0,884.4749£¬374.33148,23.5£¬-0.8659999999999999,33.457275£¬14.016998,23
1.0,751.4424£¬164.2179,29.5£¬-6.062,42.891174£¬21.31668,23
-1.0,885.1966£¬318.18994,30.5£¬7.794,-3.3336182£¬-4.489105,23
-1.0,914.8496£¬605.5186,-23.5£¬-21.65,61.74884£¬-2.5631714,23
-1.0,1328.2324£¬528.1092,75.0£¬-1.7319999999999998,-33.733154£¬12.782715,23
-1.0,-37.32601£¬387.71442,3.0£¬-1.732,-202.70221£¬33.348297,23
-1.0,118.6066£¬428.65564,14.5£¬-16.454,1.1153946£¬21.034088,23
1.0,941.3825£¬426.09253,11.5£¬25.114,20.587585£¬20.671448,23
1.0,939.53973£¬426.36212,-127.5£¬220.82999999999998,-4.8792114£¬35.858063,23
1.0,630.2662£¬525.2791,44.0£¬-45.032,24.097412£¬-20.421509,23
-1.0,62.444946£¬385.74716,16.5£¬2.598,-7.214905£¬-6.2371826,23
-1.0,1351.5082£¬580.65826,9.5£¬-58.022,-23.9021£¬24.272644,23
-1.0,1327.5171£¬519.50195,73.5£¬-0.866,-26.629272£¬-19.780884,23
1.0,876.4543£¬384.9951,26.5£¬37.238,19.038635£¬32.1846,23
1.0,975.1828£¬329.82025,-21.5£¬-9.526000000000002,-41.0307£¬11.260895,23
-1.0,1352.2783£¬474.6783,8.0£¬-8.66,-38.449463£¬2.6312256,23
1.0,546.06836£¬123.40493,7.5£¬-0.866,18.87024£¬-24.216316,23
1.0,-54.55639£¬247.00388,-0.5£¬0.866,-6.5046616£¬19.754074,23
1.0,532.4732£¬122.354034,10.0£¬1.732,12.188171£¬17.519524,23
-1.0,870.9719£¬326.35648,22.5£¬-2.598,-34.833435£¬13.903229,23
1.0,379.44238£¬638.07715,25.5£¬-58.022,24.074219£¬-31.991577,23
1.0,617.24054£¬653.0718,32.5£¬-38.97,18.963928£¬-81.678894,23
-1.0,1124.8868£¬722.92755,73.0£¬-17.32,-44.477905£¬24.121582,23
-1.0,1122.4386£¬731.6219,77.5£¬-16.454,-45.859863£¬23.736511,23
-1.0,780.34436£¬127.42762,23.5£¬-6.062,-13.541931£¬4.005348,23
-1.0,118.80826£¬373.01727,13.5£¬-26.846,-33.57541£¬28.321869,23
-1.0,130.10025£¬564.2593,48.5£¬21.650000000000002,-36.774506£¬-49.672302,23
-1.0,304.11768£¬292.34265,3.0£¬-12.124,-26.438751£¬18.663391,23
1.0,84.33739£¬301.8991,-9.5£¬47.63,-10.328033£¬7.364746,23
-1.0,128.3807£¬567.46265,52.0£¬25.98,-33.174683£¬-55.867004,23
1.0,462.7124£¬410.9308,44.0£¬-58.888,24.636475£¬-29.825226,23
1.0,645.1408£¬154.3437,5.0£¬0.0,41.85974£¬3.5019684,24
1.0,863.22565£¬741.93945,-46.0£¬-19.052,-38.315308£¬-18.285278,24
-1.0,1117.9082£¬241.72792,33.0£¬1.732,-23.20581£¬12.203033,24
-1.0,708.06836£¬435.7974,33.0£¬-77.94,-13.447754£¬22.76184,24
-1.0,958.2474£¬69.7847,21.5£¬4.33,-76.19818£¬-13.8174515,24
-1.0,885.61597£¬391.7186,43.0£¬3.464,-36.26892£¬22.172882,24
1.0,360.51666£¬316.13522,51.0£¬-48.496,13.727844£¬-21.27771,24
1.0,1274.4697£¬660.81335,17.0£¬0.0,33.927734£¬-24.789856,24
-1.0,60.96824£¬320.75735,-7.0£¬-10.392,3.7761192£¬18.638824,24
-1.0,1369.7837£¬459.93408,1.0£¬1.732,-17.163452£¬-12.985474,24
-1.0,751.70886£¬461.3188,21.0£¬-51.96,3.3355103£¬10.963074,24
-1.0,1089.0332£¬619.1954,-17.5£¬6.061999999999999,23.01233£¬-5.4657593,24
-1.0,751.2753£¬703.8575,26.0£¬-25.98,-29.937073£¬28.945007,24
1.0,1148.5525£¬765.16235,-20.0£¬8.659999999999998,-19.08667£¬4.6814575,24
-1.0,35.57414£¬346.16876,-3.0£¬-12.124,45.224537£¬27.95819,24
1.0,766.3517£¬463.66632,15.0£¬-19.052,0.23345947£¬-4.8943176,24
1.0,909.03174£¬431.39688,-17.0£¬-3.4640000000000004,-45.05017£¬20.544891,24
-1.0,957.1424£¬-1.6557064,40.5£¬6.062,-59.783386£¬-77.334816,24
-1.0,1334.4991£¬523.6257,84.0£¬-8.66,-2.3563232£¬-0.7608032,24
1.0,885.9001£¬390.72244,-127.5£¬220.82999999999998,-38.29297£¬24.735962,24
-1.0,1117.2887£¬376.9673,-6.5£¬11.258000000000001,25.13562£¬-12.050171,24
-1.0,1033.3291£¬346.0638,-11.5£¬-23.382,-4.8518066£¬18.955536,24
-1.0,841.0416£¬419.88135,21.0£¬0.0,-116.73071£¬5.0366516,24
-1.0,803.1163£¬413.019,23.5£¬-9.526,-163.29669£¬-7.2414856,24
1.0,751.03784£¬579.33923,15.5£¬-19.918,35.18036£¬-5.7818604,24
1.0,891.5817£¬387.04245,35.5£¬4.33,38.3407£¬28.959198,24
-1.0,941.53815£¬367.44693,-19.5£¬-56.29,75.84277£¬50.10309,24
1.0,750.2875£¬154.98297,11.5£¬-12.99,30.172546£¬-5.180435,24
1.0,1218.846£¬260.10962,37.5£¬-4.33,19.66101£¬-6.543091,24
1.0,911.8395£¬435.9875,-12.0£¬17.32,-40.767273£¬20.498749,24
-1.0,915.66345£¬581.65393,-2.0£¬10.392,17.474731£¬-29.240356,24
1.0,1202.2971£¬380.44965,7.0£¬-19.052,44.575684£¬-36.839966,24
-1.0,1366.0758£¬463.79926,0.5£¬0.866,-18.811035£¬-6.781494,24
-1.0,868.6313£¬431.27493,4.5£¬-11.258000000000001,-39.291626£¬48.508972,24
-1.0,794.09564£¬406.08435,35.0£¬-10.392,-141.35822£¬-16.932098,24
-1.0,798.41626£¬414.32986,27.0£¬-6.928,-161.54346£¬-1.0105896,24
1.0,685.11505£¬527.1316,39.5£¬-61.486,75.74567£¬-65.750854,24
-1.0,1337.7416£¬577.748,28.0£¬10.392,-35.239014£¬-30.095703,24
-1.0,1332.0831£¬574.9761,53.0£¬10.392,-46.37744£¬12.719971,24
1.0,104.86518£¬329.00476,-15.5£¬14.721999999999998,-17.79609£¬62.96173,24
-1.0,1332.22£¬580.0968,57.0£¬0.0,-74.19116£¬-39.46991,24
1.0,1332.9319£¬503.96826,3.5£¬-116.91,-1.3789062£¬-14.718018,24
-1.0,950.37335£¬-49.628532,2.5£¬9.526,-19.817322£¬-78.59299,24
1.0,912.8724£¬414.94827,20.0£¬-5.196,61.64514£¬35.870728,24
-1.0,1344.7261£¬482.4221,15.5£¬-12.99,-31.318726£¬14.257233,24
1.0,818.8308£¬574.37805,28.5£¬-7.794,80.02838£¬-46.657288,24
-1.0,847.73145£¬342.25565,25.5£¬-9.526,-64.445984£¬12.409546,24
1.0,379.57556£¬635.7208,53.0£¬-84.868,78.68988£¬-38.546448,24
-1.0,471.0492£¬434.59424,34.5£¬-59.754,0.11279297£¬5.8657837,24
1.0,551.96063£¬233.10716,4.5£¬-0.866,7.456787£¬-2.2869415,24
1.0,602.88605£¬172.751,2.5£¬23.382,-5.1920166£¬8.584808,24
-1.0,1338.6575£¬582.09125,31.5£¬-0.866,-66.6582£¬-39.09326,24
1.0,186.22102£¬293.78873,23.0£¬-25.98,14.946808£¬-18.008728,24
-1.0,295.3793£¬292.5966,19.5£¬-4.33,-35.09668£¬-0.19903564,24
-1.0,92.757355£¬297.56885,76.5£¬12.99,-5.591194£¬1.8379517,24
1.0,458.99847£¬433.8797,45.0£¬-60.62,-0.2420044£¬-17.17926,24
1.0,767.7142£¬455.31424,26.0£¬-36.372,36.18878£¬-42.97574,25
-1.0,1256.4694£¬521.79144,85.0£¬-32.908,-44.616333£¬-11.030334,25
1.0,886.2729£¬739.71313,-51.5£¬2.598000000000006,-1.159668£¬0.96990967,25
-1.0,705.7875£¬423.94897,27.5£¬-73.61,-7.0392456£¬15.487122,25
1.0,913.41986£¬330.18594,27.5£¬-28.578,26.325256£¬-2.2764893,25
-1.0,970.5565£¬69.17003,11.0£¬-8.66,-11.914001£¬4.1173096,25
1.0,364.76865£¬301.8931,43.0£¬-53.692,6.040497£¬-31.60373,25
-1.0,1256.2784£¬664.7733,22.5£¬0.866,-2.310791£¬-0.007446289,25
-1.0,84.71285£¬317.97632,-6.0£¬-6.928,42.33909£¬6.174164,25
1.0,1381.6293£¬455.0668,1.0£¬-1.732,16.798096£¬-24.578217,25
1.0,897.55255£¬340.32938,21.5£¬-0.866,11.486877£¬-0.6130066,25
1.0,1096.0436£¬400.00024,-3.0£¬12.124,6.3135986£¬33.94171,25
1.0,338.9561£¬106.96109,4.5£¬2.598,11.415375£¬20.072533,25
-1.0,866.363£¬768.2112,-17.5£¬14.722000000000001,19.362976£¬-6.4318237,25
-1.0,1126.1971£¬683.3408,-1.5£¬-40.702,-2.5080566£¬13.633911,25
-1.0,839.7511£¬440.13913,32.0£¬-22.516,-107.536804£¬8.632111,25
1.0,759.7719£¬561.25024,31.5£¬-90.92999999999999,28.97467£¬-33.240173,25
1.0,-19.297874£¬401.1322,1.0£¬1.732,18.028137£¬13.417786,25
-1.0,843.5577£¬421.43387,42.0£¬3.464,-97.82483£¬-4.658661,25
-1.0,849.08453£¬427.7046,6.5£¬-0.8659999999999999,-90.4552£¬1.3424683,25
1.0,1336.1057£¬503.48566,-6.0£¬-117.776,8.588623£¬-16.016296,25
1.0,947.2158£¬-29.719055,-12.0£¬20.784,-0.3526001£¬3.430832,25
-1.0,891.14154£¬417.16922,-4.0£¬-5.196000000000001,14.687256£¬32.174133,25
-1.0,964.7866£¬324.59894,16.0£¬6.928,-10.396179£¬-5.2213135,25
-1.0,833.67505£¬754.79675,-18.5£¬-2.5980000000000008,40.35034£¬23.468018,25
-1.0,1347.0195£¬481.37024,7.5£¬-14.722,-5.258789£¬6.691925,25
-1.0,536.41595£¬121.25348,5.5£¬-2.598,-9.652405£¬-2.151451,25
1.0,-75.51578£¬262.8053,-3.0£¬3.464,-20.959389£¬15.801422,25
-1.0,520.71014£¬121.9773,3.0£¬0.0,-11.763062£¬-0.37673187,25
1.0,849.3629£¬530.042,26.5£¬-11.258000000000001,92.84235£¬-51.50775,25
-1.0,1087.1234£¬719.0789,4.0£¬0.0,-37.763428£¬-3.8486328,25
1.0,788.11584£¬126.166046,25.0£¬0.0,7.7714844£¬-1.2615738,25
1.0,178.02043£¬304.01553,12.5£¬-12.99,13.987274£¬-8.482239,25
1.0,-37.751724£¬260.46448,-0.5£¬4.33,4.771591£¬44.776398,25
1.0,769.05133£¬452.54086,44.0£¬-38.104,24.991394£¬-54.72409,26
-1.0,1231.4065£¬519.64124,82.5£¬4.33,-66.52222£¬14.246643,26
-1.0,887.2327£¬753.9396,-60.5£¬0.8659999999999997,24.00708£¬12.000122,26
1.0,731.4506£¬419.88232,14.5£¬-73.61,23.382263£¬-15.91507,26
1.0,988.9928£¬59.65674,24.0£¬6.928,30.745422£¬-10.12796,26
1.0,1042.485£¬477.80692,14.5£¬-2.598,36.507935£¬-16.757874,26
1.0,395.3303£¬272.9793,44.0£¬-76.208,34.81363£¬-43.155914,26
-1.0,1243.8108£¬683.584,24.5£¬0.866,-30.658936£¬22.77063,26
-1.0,-77.49318£¬402.08398,13.0£¬5.196,-21.276337£¬7.5188293,26
1.0,1369.2249£¬441.5476,0.0£¬-3.464,-0.5588379£¬-18.386475,26
-1.0,757.11847£¬476.79068,7.5£¬-92.662,5.409607£¬15.471893,26
1.0,781.41907£¬739.2444,24.0£¬8.66,30.143738£¬35.3869,26
-1.0,860.4377£¬774.7685,-26.0£¬-17.32,40.230408£¬8.56012,26
1.0,-1.642746£¬331.2502,-3.5£¬-2.598,-37.216885£¬-14.918549,26
1.0,941.95294£¬443.95496,21.5£¬28.578,32.921204£¬12.558075,26
1.0,981.3477£¬-40.471207,-16.5£¬-104.786,24.205322£¬-38.8155,26
1.0,1057.0433£¬339.10144,-24.5£¬-68.414,-60.24536£¬-37.865845,26
-1.0,1105.6365£¬346.11484,-12.5£¬-9.526,72.30737£¬0.05102539,26
1.0,865.2217£¬411.01166,14.0£¬1.7319999999999998,24.180054£¬-8.86969,26
1.0,917.64716£¬451.93118,28.0£¬10.392000000000001,114.53088£¬38.91217,26
1.0,427.7171£¬214.15475,3.0£¬-13.856,27.77002£¬-40.500824,26
1.0,750.5524£¬559.72406,-9.0£¬-114.312,-0.4854126£¬-19.615173,26
1.0,1018.8656£¬352.72162,27.0£¬12.124,77.32745£¬-14.725311,26
-1.0,704.06805£¬138.15927,32.0£¬-5.196,-46.21942£¬-16.8237,26
1.0,938.0683£¬333.7265,29.0£¬8.66,53.98462£¬6.306427,26
1.0,924.4289£¬460.66016,14.0£¬15.588000000000001,12.5894165£¬24.672668,26
-1.0,931.9784£¬560.8196,-12.0£¬41.568,16.314941£¬-20.83435,26
1.0,1359.1509£¬441.10614,-3.0£¬-6.928,-6.9249268£¬-22.693115,26
1.0,922.8158£¬451.1853,17.0£¬10.392,54.18451£¬19.91037,26
1.0,-48.557632£¬382.2388,-2.5£¬-2.598,-27.223785£¬-9.71463,26
-1.0,983.788£¬139.0416,-4.5£¬-2.598,41.82843£¬-9.820923,26
-1.0,96.320145£¬382.61874,51.5£¬16.454,-33.926254£¬-41.137115,26
1.0,872.8125£¬411.0189,17.0£¬1.732,74.39624£¬-3.3109741,26
1.0,1352.8739£¬556.99756,0.0£¬-13.856,15.132324£¬-20.750427,26
1.0,1348.0382£¬552.46204,-2.5£¬-61.486,15.955078£¬-22.514038,26
-1.0,70.727776£¬319.4411,18.0£¬0.0,-34.137405£¬-9.56366,26
1.0,1345.4908£¬560.701,10.0£¬-39.836,13.270874£¬-19.395813,26
1.0,1333.1594£¬469.0538,12.0£¬-34.64,0.22753906£¬-34.91446,26
-1.0,952.82367£¬-49.586784,-34.0£¬3.4639999999999986,2.4503174£¬0.041748047,26
1.0,555.8416£¬116.97418,12.0£¬-3.464,25.115173£¬-4.8399124,26
1.0,-149.70886£¬217.31813,-14.0£¬-39.836,-71.9899£¬-36.67592,26
-1.0,-171.2998£¬352.2952,27.5£¬40.702,-18.613617£¬-31.181915,26
1.0,520.42285£¬120.967186,7.0£¬-1.732,2.845581£¬-1.2258911,26
1.0,839.1989£¬559.638,26.5£¬-11.258,20.368103£¬-14.740051,26
-1.0,923.035£¬349.0532,-14.0£¬-1.732000000000001,75.30353£¬6.7975464,26
1.0,400.12402£¬550.8821,21.0£¬-77.94,20.548462£¬-84.838745,26
1.0,523.2539£¬217.08179,-43.0£¬-41.568,-1.114624£¬-26.685959,26
-1.0,502.8708£¬503.38858,-15.5£¬-85.734,31.821594£¬68.79434,26
-1.0,1030.3588£¬372.93344,-6.5£¬2.598,61.279053£¬-5.2238464,26
1.0,1352.2129£¬560.4546,1.5£¬-21.65,13.55542£¬-21.636658,26
-1.0,534.0808£¬-54.479294,21.0£¬24.248,-1.9191895£¬-68.479294,26
1.0,773.1025£¬740.71216,11.0£¬31.176,0.10247803£¬5.712158,26
1.0,1067.7552£¬714.86005,15.0£¬24.248,10.755249£¬25.860046,26
1.0,774.2575£¬750.4318,-8.0£¬43.3,0.25750732£¬5.4318237,26
1.0,1385.2021£¬583.38446,19.5£¬-42.434,9.202148£¬-14.61554,26
1.0,828.65765£¬228.20634,69.5£¬-23.382,14.657654£¬1.2063446,26
1.0,1365.5371£¬494.5844,-18.0£¬-19.052,-24.46289£¬-12.415588,26
1.0,1082.7666£¬670.7467,-26.0£¬46.764,5.7666016£¬23.746704,26
1.0,527.30927£¬667.3019,37.5£¬-52.826,3.3092651£¬-31.69812,26
-1.0,-18.163418£¬651.3021,3.5£¬7.794,-20.163418£¬-26.697876,26
1.0,529.92377£¬659.3349,28.0£¬-65.816,19.923767£¬-34.6651,26
-1.0,29.601759£¬538.89166,3.5£¬40.702,-1.398241£¬-20.108337,26
1.0,1081.2911£¬727.7877,5.0£¬3.464,6.2911377£¬30.78772,26
-1.0,721.11224£¬42.38324,11.0£¬10.392,-37.887756£¬-8.61676,26
-1.0,574.9626£¬266.1808,30.0£¬-55.424,-95.46765£¬115.69092,27
-1.0,914.19684£¬738.43195,-47.0£¬27.712,27.92395£¬-1.281189,27
-1.0,67.32503£¬321.02625,14.0£¬-8.66,-29.773087£¬10.789856,27
1.0,929.35175£¬334.585,40.5£¬-4.33,15.931885£¬4.399048,27
1.0,1048.0562£¬42.67079,26.5£¬-32.042,77.49963£¬-26.499237,27
1.0,929.39575£¬433.75217,141.0£¬71.012,40.5531£¬42.281647,27
1.0,1056.2831£¬467.3719,52.5£¬-0.866,42.82312£¬-4.3712463,27
-1.0,1232.8546£¬678.9634,16.5£¬-0.866,-23.423828£¬14.190063,27
1.0,-63.4261£¬395.34833,-9.5£¬-51.094,-9.662918£¬-10.4133,27
1.0,920.81915£¬343.44394,24.0£¬1.7319999999999998,8.618774£¬7.593811,27
-1.0,1368.2379£¬424.5095,11.0£¬10.392,-13.391357£¬-30.557312,27
1.0,808.3878£¬454.51202,39.0£¬3.4639999999999995,45.015564£¬-23.004242,27
-1.0,767.1169£¬745.2,26.5£¬-37.238,-18.65741£¬11.032654,27
1.0,885.5443£¬772.1837,80.5£¬7.794,19.181335£¬3.9725342,27
1.0,932.83093£¬468.25403,43.0£¬10.392,24.23877£¬35.855804,27
-1.0,1045.6868£¬-85.76929,-17.0£¬22.516000000000002,91.073£¬-91.53024,27
-1.0,1093.3967£¬358.83414,-6.5£¬2.598,54.249146£¬10.00119,27
1.0,920.6335£¬477.8179,43.5£¬11.258,80.882385£¬37.678772,27
1.0,899.32776£¬426.6366,32.0£¬22.516000000000002,19.887512£¬38.986664,27
1.0,940.3752£¬327.25897,26.0£¬-10.392,57.475403£¬-10.620392,27
1.0,1198.8699£¬294.99283,20.5£¬52.826,-13.117554£¬32.48474,27
1.0,1365.6666£¬459.41568,14.0£¬-19.052,-0.9182129£¬-47.851074,27
1.0,1374.8394£¬433.54987,0.5£¬-2.598,0.25219727£¬-22.868835,27
1.0,936.5281£¬341.1787,24.5£¬-0.866,14.533691£¬2.239685,27
-1.0,88.79364£¬371.43088,10.0£¬13.856,-39.69902£¬-37.293396,27
